station_id,name,lat,lon
41026,Forro,12.0,-38.0
41027,Sunset Mid-Shelf (SUN 3),33.302,-78.137
41029,"Capers Nearshore, SC (CAP2)",32.803,-79.624
41030,Capers Mid-Shelf (CAP 3),32.52,-79.34
41033,"Fripp Nearshore, SC (FRP2)",32.279,-80.406
41035,"Onslow Bay Inner, NC",34.476,-77.28
41036,"Onslow Bay Outer, NC",34.207,-76.949
41037,"Wrightsville Beach Offshore, NC (ILM3)",33.988,-77.362
41038,"Wrightsville Beach Nearshore, NC (ILM2)",34.141,-77.715
41040,NORTH EQUATORIAL ONE- 470 NM East of Martinique,14.568,-53.037
41041,NORTH EQUATORIAL TWO - 890 NM East of Martinique,14.259,-46.052
41043,"NE PUERTO RICO - 170 NM NNE of San Juan, PR",21.09,-64.864
41044,NE ST MARTIN - 330 NM NE St Martin Is,21.582,-58.63
41046,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas",23.84,-68.34
41047,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",27.557,-71.48
41048,WEST BERMUDA - 240 NM West of Bermuda,31.878,-69.722
41049,SOUTH BERMUDA - 300 NM SSE of Bermuda,27.505,-62.271
41051,"South of St. Thomas, VI",18.257,-65.004
41052,"South of St. John, VI",18.249,-64.763
41053,"San Juan, PR",18.474,-66.099
41056,"Vieques Island, PR",18.261,-65.464
41057,"Puerto Plata, DO",19.833,-70.731
41058,"North of St. Thomas, VI",18.476,-65.157
41060,Woods Hole Northwest Tropical Atlantic Wave Station,14.824,-51.017
41061,Woods Hole SPURS Wave Station,24.581,-38.0
41062,Hatteras Bay (B1),35.778,-75.095
41063,Raleigh Bay (B2),34.782,-75.941
41064,"Onslow Bay Outer, NC (LEJ3)",34.207,-76.949
41065,Capers Nearshore Waves (CAP2WAVE),32.802,-79.619
41066,CHR60,32.536,-79.656
41067,FRP2WAVE,32.276,-80.406
41068,"Fort Pierce, FL (FTP)",27.593,-80.189
41069,"Ponce de Leon Inlet, FL (PNC)",29.289,-80.803
41070,Ponce de Leon Inlet Waves (PNCWAVE),29.289,-80.803
41076,CHR60WAVE,32.536,-79.659
41082,OOI Pioneer - Mid-Atlantic Bight Central Surface Mooring,35.95,-75.125
41083,OOI Pioneer - Mid-Atlantic Bight Southern Surface Mooring,35.725,-74.853
41096,North of Guadeloupe,16.533,-61.404
41097,"Fort-de-France, Martinique",14.48,-61.096
41098,North of Martinique,14.894,-61.113
41100,East of Guadeloupe,15.9,-57.883
41101,East of Martinique,14.6,-56.201
41108,"Wilmington Harbor, NC - (200)",33.719,-78.016
41109,"New River Inlet, NC - (190)",34.484,-77.3
41110,"Masonboro Inlet, ILM2, NC (150)",34.144,-77.715
41112,"Offshore Fernandina Beach, FL (132)",30.709,-81.292
41113,"Cape Canaveral Nearshore, FL (143)",28.4,-80.533
41114,"Fort Pierce, FL (134)",27.552,-80.216
41115,"Rincon, Puerto Rico (181)",18.376,-67.28
41116,"Oculina Bank North, FL (227)",28.523,-80.188
41117,"St. Augustine, FL (194)",29.999,-81.079
41118,"Chester Shoal, FL (228)",28.609,-80.59
41119,"Sunset Beach, NC - (245)",33.842,-78.483
41120,"Cape Hatteras East, NC (250)",35.258,-75.285
41121,"Arecibo, Puerto Rico (249)",18.491,-66.701
41122,"Hollywood Beach, FL (265)",26.001,-80.096
41139,,20.0,-38.0
41140,"Christiansted, St. Croix, Virgin Islands",17.769,-64.723
41141,"Fareham, St. Croix, Virgin Islands",17.684,-64.635
41159,"Onslow Bay Outer, NC (217)",34.211,-76.944
41193,"Puerto Bolivar, Colombia",12.351,-72.218
41194,"Barranquilla, Colombia",11.161,-74.681
41300,West Indies,15.85,-57.467
41420,"NORTH SANTO DOMINGO - 328NM NNE of Santo Domingo, DO",23.433,-67.386
41421,"NORTH ST THOMAS - 300 NM North of St Thomas, Virgin Is",23.44,-63.834
41424,"EAST CHARLESTON - 370 NM East of Charleston, SC",33.0,-72.66
41425,"SOUTHWEST BERMUDA - 200 NM SSW of Hamilton, Bermuda",28.639,-65.774
41554,,18.078,-64.743
41670,,24.71,-28.42
41852,,23.24,-24.02
41904,,3.017,90.9
41933,,44.95,-12.8
41a46,"EAST BAHAMAS - 335 NM East of San Salvador Is, Bahamas backup",23.838,-68.333
41b41,NORTH EQUATORIAL TWO - 890 NM East of Martinique,14.329,-46.082
41d20,Adrift from 41420,23.375,-67.345
41nt0,NTAS - Northwest Tropical Atlantic,15.0,-51.0
41s43,"170 NM NNE of San Juan, PR (SCP12)",21.132,-64.856
41s46,"335 NM East of San Salvador Is, Bahamas (SCP10)",23.866,-68.481
41x01,"Adrift from 41001, 150nm E of Cape Hatteras",34.502,-72.522
41x24,"370 NM East of Charleston, SC",32.93,-72.497
41x40,Adrift buoy from 41040,14.536,-53.136
41x46,Adrift buoy from 41046,23.822,-68.384
41y10,Adrift hull from 41010,28.88,-78.48
42001,"MID GULF - 180 nm South of Southwest Pass, LA",25.922,-89.638
42002,"WEST GULF - 207 NM East of Brownsville, TX",25.95,-93.78
42003,"East GULF - 208 NM West of Naples, FL",25.925,-85.616
42004,,27.5,-85.5
42005,,30.0,-85.9
42006,,26.5,-96.0
42007,"BILOXI - 22 NM SSE of Biloxi, MS",30.09,-88.769
42008,,28.7,-95.3
42009,,29.3,-87.5
42010,,29.7,-93.4
42011,,29.7,-93.5
42012,"ORANGE BEACH - 44 NM SE of Mobile, AL",30.061,-87.547
42013,"C10 - WFS Central Buoy, 25m Isobath",27.173,-82.924
42014,C17 - W. FL Sea-Coos,25.254,-82.22
42015,,30.1,-88.2
42016,,30.2,-88.1
42017,,27.9,-90.9
42018,,30.0,-88.2
42019,"FREEPORT, TX - 60 NM South of Freeport, TX",27.908,-95.343
42020,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",26.97,-96.679
42021,"C14 - Pasco County Buoy, FL",28.311,-83.306
42022,"C12 - WFS Central Buoy, 50m Isobath",27.505,-83.741
42023,"C13 - WFS South Buoy, 50m Isobath",26.01,-83.086
42024,C16 - W. FL MERHAB,27.464,-84.219
42025,,24.9,-80.4
42026,"C22 - Loop Current Pressure Point Buoy, 70m Isobath",25.171,-83.475
42027,"C23 - FLRACEP nWFS Buoy, 45m isobath",29.045,-85.305
42028,"C24 - FLRACEP nWFS Buoy, 58m isobath",29.745,-86.227
42031,"West End CP, AL",30.09,-88.212
42035,"GALVESTON,TX -  22 NM East of Galveston, TX",29.235,-94.41
42036,"WEST TAMPA  - 112 NM WNW of Tampa, FL",28.5,-84.505
